clean.id,Q3.18_1,Q3.18_2,Q3.18_3,Q3.18_4,Q3.18_5,Q3.18_6,Q3.21_1,Q3.21_2,Q3.21_3,Q3.21_4
1202,1,1,NA,NA,NA,NA,1,NA,1,NA
1156,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1156,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1208,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
1362,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1487,NA,NA,NA,NA,1,NA,NA,NA,1,NA
1228,1,NA,1,NA,NA,NA,1,NA,1,NA
1154,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
1285,1,1,NA,NA,NA,NA,1,NA,1,NA
1115,NA,NA,NA,1,NA,NA,NA,NA,1,NA
1482,1,NA,NA,NA,NA,NA,1,NA,1,NA
1206,1,NA,NA,NA,NA,NA,NA,1,1,NA
1489,1,1,1,NA,NA,NA,1,NA,NA,NA
1489,NA,NA,NA,NA,NA,1,1,NA,NA,NA
1489,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
1480,NA,NA,NA,NA,1,NA,NA,NA,1,1
1515,1,1,NA,NA,NA,NA,1,NA,1,NA
1515,1,NA,NA,NA,NA,NA,NA,1,1,NA
1513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1147,NA,NA,NA,1,NA,NA,NA,NA,NA,1
1462,1,1,NA,NA,NA,NA,1,NA,NA,NA
1040,NA,NA,NA,NA,1,NA,NA,1,1,NA
1040,NA,NA,NA,NA,NA,1,NA,NA,1,NA
1104,1,1,1,NA,NA,NA,NA,NA,1,NA
1407,1,NA,NA,NA,NA,NA,NA,NA,1,NA
1407,1,NA,NA,NA,NA,NA,1,NA,1,NA
1420,1,1,NA,NA,NA,NA,NA,NA,NA,1
1205,1,NA,NA,NA,NA,NA,1,1,1,NA
1388,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1008,1,NA,NA,NA,NA,NA,1,1,1,1
1283,1,NA,NA,NA,NA,NA,1,NA,NA,NA
1212,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
1514,1,1,NA,NA,NA,NA,1,NA,1,NA
1391,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1391,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1381,1,1,NA,1,NA,NA,NA,NA,1,NA
1043,1,1,NA,NA,NA,NA,1,NA,1,NA
1291,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1266,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1266,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1269,NA,NA,NA,NA,1,NA,NA,NA,NA,1
1273,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1319,1,NA,NA,NA,NA,NA,1,NA,1,NA
1207,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1517,NA,1,NA,NA,1,NA,NA,NA,NA,NA
1436,1,NA,NA,NA,NA,NA,1,NA,1,NA
1102,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1486,1,1,NA,NA,NA,NA,1,1,1,NA
1426,NA,NA,NA,NA,1,NA,NA,NA,1,NA
1416,NA,NA,NA,1,NA,NA,NA,NA,NA,1
1309,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1177,1,NA,NA,NA,NA,NA,1,1,NA,NA
1088,1,1,1,NA,NA,NA,NA,NA,NA,NA
1430,NA,NA,NA,NA,1,NA,NA,NA,1,NA
1235,1,NA,NA,NA,NA,NA,1,NA,1,NA
1175,NA,NA,NA,NA,1,NA,1,NA,1,NA
1175,NA,NA,NA,NA,NA,1,1,NA,1,NA
1287,1,NA,NA,NA,1,NA,NA,NA,1,NA
1394,1,NA,NA,NA,NA,NA,1,NA,1,NA
1214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1460,1,NA,NA,NA,NA,NA,1,NA,1,NA
1258,1,1,NA,NA,NA,NA,NA,NA,NA,1
1315,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1010,1,1,NA,NA,NA,NA,1,NA,1,1
1101,NA,NA,NA,NA,1,NA,NA,NA,1,NA
1101,NA,NA,NA,NA,1,NA,NA,NA,1,NA
1508,NA,NA,NA,NA,NA,1,1,NA,1,1
1396,1,NA,1,NA,NA,NA,1,1,1,NA
1349,1,1,NA,NA,NA,NA,NA,NA,NA,1
1506,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1520,1,NA,1,NA,NA,NA,1,NA,NA,NA
1431,1,1,NA,NA,NA,NA,1,NA,1,NA
