clean.id,Q3.19,Q3.25,Q3.25_collapsed
1409,Don't know,NA,NA
1322,Somewhat important actor,Positive,Positive
1300,Most important actor,Positive,Positive
1368,Somewhat important actor,Positive,Positive
1398,Somewhat important actor,Positive,Positive
1398,Don't know,NA,NA
1377,Most important actor,Positive,Positive
1194,Somewhat important actor,Don't know,Don't know
1113,Most important actor,Positive,Positive
1100,Don't know,NA,NA
1199,Don't know,NA,NA
1196,Most important actor,Positive,Positive
1485,Somewhat important actor,Mixed,Mixed
1378,Somewhat important actor,Positive,Positive
1248,Most important actor,Positive,Positive
1404,Somewhat important actor,Positive,Positive
1165,Not an important actor,NA,NA
1355,Most important actor,Positive,Positive
1182,Somewhat important actor,Mixed,Mixed
1351,Somewhat important actor,Positive,Positive
1466,Most important actor,Positive,Positive
1243,NA,NA,NA
1333,NA,NA,NA
1375,Most important actor,Mixed,Mixed
1375,Don't know,NA,NA
1124,Somewhat important actor,Positive,Positive
1124,Somewhat important actor,Positive,Positive
1183,Don't know,NA,NA
1505,Most important actor,Positive,Positive
1505,Don't know,NA,NA
1469,NA,NA,NA
1511,Not an important actor,NA,NA
1213,Somewhat important actor,Positive,Positive
1367,Don't know,NA,NA
1216,Not an important actor,NA,NA
1216,Not an important actor,NA,NA
1164,Most important actor,Positive,Positive
1085,Don't know,NA,NA
1031,Don't know,NA,NA
1423,Somewhat important actor,Positive,Positive
1087,Don't know,NA,NA
1473,Most important actor,Negative,NA
1221,Not an important actor,NA,NA
1221,Not an important actor,NA,NA
1365,Most important actor,Positive,Positive
1137,Somewhat important actor,Mixed,Mixed
1202,Most important actor,Mixed,Mixed
1156,Most important actor,Positive,Positive
1156,Don't know,NA,NA
1208,Don't know,NA,NA
1362,Somewhat important actor,Positive,Positive
1487,Don't know,NA,NA
1228,Somewhat important actor,Mixed,Mixed
1154,Somewhat important actor,Positive,Positive
1285,Somewhat important actor,Positive,Positive
1115,Somewhat important actor,Positive,Positive
1482,Most important actor,Mixed,Mixed
1206,Don't know,NA,NA
1489,Most important actor,Positive,Positive
1489,Don't know,NA,NA
1489,Don't know,NA,NA
1480,Don't know,NA,NA
1515,Most important actor,Mixed,Mixed
1515,Not an important actor,NA,NA
1513,Most important actor,NA,NA
1147,NA,NA,NA
1462,Most important actor,Mixed,Mixed
1040,Don't know,NA,NA
1040,Don't know,NA,NA
1104,Most important actor,Positive,Positive
1407,Somewhat important actor,Don't know,Don't know
1407,Somewhat important actor,Positive,Positive
1420,Most important actor,Positive,Positive
1205,Somewhat important actor,Don't know,Don't know
1388,Don't know,NA,NA
1008,Somewhat important actor,Positive,Positive
1283,Don't know,NA,NA
1212,Don't know,NA,NA
1514,Most important actor,Positive,Positive
1391,Don't know,NA,NA
1391,Somewhat important actor,Positive,Positive
1381,Most important actor,Positive,Positive
1043,Most important actor,Positive,Positive
1291,Don't know,NA,NA
1266,Somewhat important actor,Mixed,Mixed
1266,Not an important actor,NA,NA
1269,Somewhat important actor,Don't know,Don't know
1273,Don't know,NA,NA
1319,Most important actor,Don't know,Don't know
1207,NA,NA,NA
1517,Don't know,NA,NA
1436,Most important actor,Positive,Positive
1102,Don't know,NA,NA
1486,Most important actor,Positive,Positive
1426,Most important actor,Positive,Positive
1416,Somewhat important actor,Mixed,Mixed
1309,Not an important actor,NA,NA
1177,Somewhat important actor,Mixed,Mixed
1088,Don't know,NA,NA
1430,Not an important actor,NA,NA
1235,Somewhat important actor,Positive,Positive
1175,Somewhat important actor,Positive,Positive
1175,Don't know,NA,NA
1287,Somewhat important actor,Positive,Positive
1394,Somewhat important actor,Positive,Positive
1214,Somewhat important actor,Positive,Positive
1460,Somewhat important actor,Positive,Positive
1258,Not an important actor,NA,NA
1315,Not an important actor,NA,NA
1010,Most important actor,Positive,Positive
1101,Somewhat important actor,Mixed,Mixed
1101,Not an important actor,NA,NA
1508,Don't know,NA,NA
1396,Somewhat important actor,Positive,Positive
1349,Somewhat important actor,Don't know,Don't know
1506,Somewhat important actor,Positive,Positive
1520,Somewhat important actor,Positive,Positive
1431,Most important actor,Positive,Positive
1234,Not an important actor,NA,NA
1342,Don't know,NA,NA
1342,Don't know,NA,NA
1061,Don't know,NA,NA
1215,Somewhat important actor,Positive,Positive
1215,Don't know,NA,NA
1140,Don't know,NA,NA
1348,Somewhat important actor,Positive,Positive
1069,Don't know,NA,NA
